district,total_eligible,matched,match_rate
Sunderland,11,10,0.9090909090909091
Pontefract,44,40,0.9090909090909091
Hungerford,22,20,0.9090909090909091
Guildford,22,20,0.9090909090909091
Hailsham,11,10,0.9090909090909091
Headington,22,20,0.9090909090909091
Uckfield,11,10,0.9090909090909091
Stratton,11,10,0.9090909090909091
Rye,11,10,0.9090909090909091
Chipping Norton,34,31,0.9117647058823529
Forehoe,23,21,0.9130434782608695
Tewkesbury,23,21,0.9130434782608695
Malmesbury,23,21,0.9130434782608695
Bakewell (1839 onw),60,55,0.9166666666666666
Mere,12,11,0.9166666666666666
Chorlton,12,11,0.9166666666666666
Saffron Walden,24,22,0.9166666666666666
Kidderminster,12,11,0.9166666666666666
Luton,12,11,0.9166666666666666
Runcorn,37,34,0.918918918918919
Stratford upon Avon,37,34,0.918918918918919
Lincoln,99,91,0.9191919191919192
Faversham,25,23,0.92
Cockermouth,50,46,0.92
Narberth,51,47,0.9215686274509803
Tetbury,13,12,0.9230769230769231
Wem,13,12,0.9230769230769231
Hastings (1837-1977),13,12,0.9230769230769231
Wimborne,26,24,0.9230769230769231
Kingston,13,12,0.9230769230769231
Romsey (1837-1932),13,12,0.9230769230769231
Romsey (1974 onw),13,12,0.9230769230769231
Ashton under Lyne (1848-1937),13,12,0.9230769230769231
Stafford,26,24,0.9230769230769231
St Germans,13,12,0.9230769230769231
Chepstow,40,37,0.925
Blaby,27,25,0.9259259259259259
Worthing (1837-69),27,25,0.9259259259259259
Wareham,27,25,0.9259259259259259
Grantham (1974 onw),54,50,0.9259259259259259
Grantham (1837-1933),54,50,0.9259259259259259
Worthing (1935 onw),27,25,0.9259259259259259
Patrington,27,25,0.9259259259259259
Rotherham,27,25,0.9259259259259259
Selby,27,25,0.9259259259259259
Darlington,41,38,0.926829268292683
Market Drayton,14,13,0.9285714285714286
Preston,28,26,0.9285714285714286
Howden (1837-1937),42,39,0.9285714285714286
Cambridge (1837-1935),14,13,0.9285714285714286
Doncaster,56,52,0.9285714285714286
Cambridge (1974 onw),14,13,0.9285714285714286
Great Boughton,113,105,0.9292035398230089
Rothbury,71,66,0.9295774647887324
Lewes,43,40,0.9302325581395349
Driffield,43,40,0.9302325581395349
Frome,29,27,0.9310344827586207
Pembroke,29,27,0.9310344827586207
Evesham,30,28,0.9333333333333333
St Austell,15,14,0.9333333333333333
Ware,15,14,0.9333333333333333
Northwich,60,56,0.9333333333333333
Dorchester,60,56,0.9333333333333333
Glendale,45,42,0.9333333333333333
Cheadle,15,14,0.9333333333333333
Highworth,15,14,0.9333333333333333
North Aylesford,15,14,0.9333333333333333
Durham (1837-1938),46,43,0.9347826086956522
Lancaster,46,43,0.9347826086956522
Chelmsford,31,29,0.9354838709677419
Halstead,16,15,0.9375
Hambledon,16,15,0.9375
Warrington,16,15,0.9375
Houghton le Spring,16,15,0.9375
Colchester,16,15,0.9375
Monmouth (1837-1939),33,31,0.9393939393939394
Andover,33,31,0.9393939393939394
Witham,17,16,0.9411764705882353
Chesterfield,34,32,0.9411764705882353
Wolverhampton,17,16,0.9411764705882353
Goole,17,16,0.9411764705882353
Erpingham,51,48,0.9411764705882353
Brampton,17,16,0.9411764705882353
Bromyard,34,32,0.9411764705882353
Haverfordwest,69,65,0.9420289855072463
Lexden,35,33,0.9428571428571428
Warwick (to 1932),35,33,0.9428571428571428
Meriden,18,17,0.9444444444444444
Williton,36,34,0.9444444444444444
Burton upon Trent,54,51,0.9444444444444444
Newbury,18,17,0.9444444444444444
Stockbridge (to 1932),18,17,0.9444444444444444
Ellesmere,18,17,0.9444444444444444
Westhampnett,37,35,0.9459459459459459
Docking,37,35,0.9459459459459459
Bourne (1837-1933),37,35,0.9459459459459459
Oundle,37,35,0.9459459459459459
Bourne (1974 onw),37,35,0.9459459459459459
Wirral (1837-1974),56,53,0.9464285714285714
Northampton (1837-1923),19,18,0.9473684210526315
Romney Marsh,19,18,0.9473684210526315
Wells,19,18,0.9473684210526315
Bridport (1959 to 1997),19,18,0.9473684210526315
Northampton (1936 onw),19,18,0.9473684210526315
Halifax,19,18,0.9473684210526315
Bridport (to 1958),19,18,0.9473684210526315
Pershore,39,37,0.9487179487179487
Winchester,39,37,0.9487179487179487
Abingdon,40,38,0.95
Plympton St Mary,20,19,0.95
Wisbech,20,19,0.95
Sculcoates,20,19,0.95
Bishops Stortford,20,19,0.95
Tiverton,40,38,0.95
Alton (1837 onw),20,19,0.95
Tisbury,20,19,0.95
Bridgwater,41,39,0.9512195121951219
Richmond Yk,41,39,0.9512195121951219
Warminster,21,20,0.9523809523809523
Rugby,42,40,0.9523809523809523
Peterborough,42,40,0.9523809523809523
Thirsk,42,40,0.9523809523809523
Elham,21,20,0.9523809523809523
Witney,43,41,0.9534883720930233
Malton,65,62,0.9538461538461539
Stockton (to 1938),65,62,0.9538461538461539
Alcester,22,21,0.9545454545454546
Sudbury,44,42,0.9545454545454546
Teesdale,44,42,0.9545454545454546
Ledbury,22,21,0.9545454545454546
Linton,22,21,0.9545454545454546
Newcastle in Emlyn,22,21,0.9545454545454546
Atcham,44,42,0.9545454545454546
Louth,90,86,0.9555555555555556
Bedford,45,43,0.9555555555555556
Chipping Sodbury,23,22,0.9565217391304348
Amesbury,23,22,0.9565217391304348
Fylde,23,22,0.9565217391304348
Wilton,23,22,0.9565217391304348
Pewsey,23,22,0.9565217391304348
Exeter,23,22,0.9565217391304348
Torrington,23,22,0.9565217391304348
Tadcaster,46,44,0.9565217391304348
Hunslet (1845-1929),23,22,0.9565217391304348
West Derby,23,22,0.9565217391304348
Morpeth,71,68,0.9577464788732394
Wellington Som,24,23,0.9583333333333334
Shepton Mallet,24,23,0.9583333333333334
Hexham,72,69,0.9583333333333334
Shardlow,48,46,0.9583333333333334
Bedale,24,23,0.9583333333333334
Newport Pagnell,49,47,0.9591836734693877
Hemsworth,25,24,0.96
Banbury,50,48,0.96
Dover,25,24,0.96
Wayland,25,24,0.96
Woodbridge,50,48,0.96
Newark,51,49,0.9607843137254902
Stow on the Wold,26,25,0.9615384615384616
Southam,26,25,0.9615384615384616
Hereford,80,77,0.9625
Winchcomb,27,26,0.9629629629629629
Glanford Brigg,54,52,0.9629629629629629
Risbridge,27,26,0.9629629629629629
Totnes,28,27,0.9642857142857143
Melton Mowbray,56,54,0.9642857142857143
Melton Mowbray (1997 onw),56,54,0.9642857142857143
Stokesley,28,27,0.9642857142857143
Biggleswade,28,27,0.9642857142857143
Nantwich,86,83,0.9651162790697675
Worksop,29,28,0.9655172413793104
Chippenham,29,28,0.9655172413793104
Wallingford,29,28,0.9655172413793104
Clutton,29,28,0.9655172413793104
Sleaford (1974 onw),59,57,0.9661016949152542
Sleaford (to 1933),59,57,0.9661016949152542
Northleach,30,29,0.9666666666666667
Crediton,30,29,0.9666666666666667
Bridgnorth,30,29,0.9666666666666667
St Faiths,30,29,0.9666666666666667
Oakham,31,30,0.967741935483871
Market Bosworth,31,30,0.967741935483871
Easingwold,31,30,0.967741935483871
Belford,32,31,0.96875
Spilsby,66,64,0.9696969696969697
Swaffham,33,32,0.9696969696969697
Downham,33,32,0.9696969696969697
Wantage,34,33,0.9705882352941176
Blandford,34,33,0.9705882352941176
Woodstock,34,33,0.9705882352941176
Bicester,36,35,0.9722222222222222
Lutterworth,37,36,0.972972972972973
Stamford,37,36,0.972972972972973
Thetford,38,37,0.9736842105263158
Otley,39,38,0.9743589743589743
Axbridge,39,38,0.9743589743589743
Aylesbury,40,39,0.975
Wincanton,41,40,0.975609756097561
Tunstead,41,40,0.975609756097561
Loddon,41,40,0.975609756097561
Market Harborough,42,41,0.9761904761904762
Bingham,42,41,0.9761904761904762
Depwade,43,42,0.9767441860465116
Northallerton,43,42,0.9767441860465116
Royston,45,44,0.9777777777777777
Aylsham,46,45,0.9782608695652174
Thingoe,48,47,0.9791666666666666
East Retford,50,49,0.98
Gainsborough,50,49,0.98
Bridgend (1996 onw),56,55,0.9821428571428571
Bridgend (to 1970),56,55,0.9821428571428571
Knaresborough,58,57,0.9827586206896551
Mitford,60,59,0.9833333333333333
Caistor,76,75,0.9868421052631579
Castle Ward,78,77,0.9871794871794872
Bideford,19,19,1.0
Stepney (1926-82),5,5,1.0
Stepney (to 1921),5,5,1.0
Steyning,23,23,1.0
Winslow,17,17,1.0
Windsor,7,7,1.0
Clerkenwell,1,1,1.0
Stockport,18,18,1.0
Christchurch (1932-1974),3,3,1.0
Alverstoke,1,1,1.0
Christchurch (1837-1925),3,3,1.0
Billericay,25,25,1.0
Bridlington (1837-1937),32,32,1.0
Beaminster,26,26,1.0
Stow (to 1935),34,34,1.0
Birmingham (1837-1924),1,1,1.0
Birmingham (1932 onw),1,1,1.0
Chorley,26,26,1.0
Wigan,20,20,1.0
Blackburn,24,24,1.0
Chichester,24,24,1.0
Chesterton,38,38,1.0
Chester le Street,20,20,1.0
Cheltenham,13,13,1.0
Chelsea (1841-1981),1,1,1.0
Stone,10,10,1.0
Stourbridge,9,9,1.0
Staines,13,13,1.0
Clifton,12,12,1.0
Spalding,9,9,1.0
Yeovil,36,36,1.0
St Albans,8,8,1.0
Yarmouth (1837-1923),1,1,1.0
Wycombe,30,30,1.0
Cricklade,14,14,1.0
Bedminster,23,23,1.0
Wortley (1838-1974),19,19,1.0
St Columb,16,16,1.0
Berkhampstead (1837-1939),10,10,1.0
Cranbrook,6,6,1.0
Bermondsey (1837-69),1,1,1.0
Coventry,2,2,1.0
Bermondsey (1934 onw),1,1,1.0
Berwick,1,1,1.0
Cosford,28,28,1.0
Wolstanton,2,2,1.0
Congleton,32,32,1.0
Ampthill,19,19,1.0
St Ives,24,24,1.0
Wokingham,13,13,1.0
Amersham,11,11,1.0
St Martin in the Fields,1,1,1.0
Woburn,16,16,1.0
St Olave Southwark (1837-1901),3,3,1.0
St Saviour Southwark,2,2,1.0
St Thomas,50,50,1.0
Blything,49,49,1.0
Chelsea (1837 only),1,1,1.0
Caxton,26,26,1.0
Watford,6,6,1.0
Towcester,23,23,1.0
Bury St Edmunds,2,2,1.0
Truro,24,24,1.0
West Ham,7,7,1.0
Braintree,14,14,1.0
Southwell,62,62,1.0
West Ashford,12,12,1.0
Bury,12,12,1.0
Bromsgrove,11,11,1.0
Weobley,26,26,1.0
Uppingham,36,36,1.0
Upton upon Severn,22,22,1.0
Brentford,10,10,1.0
Bromley,16,16,1.0
Uxbridge,10,10,1.0
Alnwick,62,62,1.0
Brixworth,36,36,1.0
Wellingborough,27,27,1.0
Alston,1,1,1.0
Walsingham,53,53,1.0
Wandsworth,6,6,1.0
Alresford,19,19,1.0
Weardale,4,4,1.0
Brighton,1,1,1.0
Bridlington (1974 onw),32,32,1.0
Bradford upon Avon,9,9,1.0
West Ward,22,22,1.0
Westbourne,12,12,1.0
Tonbridge,9,9,1.0
Whitby,22,22,1.0
Taunton (1837-1974),38,38,1.0
Taunton (1996 onw),38,38,1.0
Tavistock,24,24,1.0
Catherington,6,6,1.0
Tenbury,17,17,1.0
Wheatenhurst,14,14,1.0
Tendring,32,32,1.0
Tenterden,11,11,1.0
Bath,24,24,1.0
Thakeham,15,15,1.0
Thame,36,36,1.0
Bodmin,21,21,1.0
Thanet,11,11,1.0
Weymouth (1959-97),19,19,1.0
Bolton,26,26,1.0
Brackley,29,29,1.0
Bradford,21,21,1.0
Battle,14,14,1.0
Camelford,14,14,1.0
Thorne,13,13,1.0
Thrapston,26,26,1.0
Westbury,10,10,1.0
Ticehurst,6,6,1.0
Camberwell,1,1,1.0
Calne,11,11,1.0
Weymouth (to 1958),19,19,1.0
Tynemouth,24,24,1.0
Shaftesbury,19,19,1.0
Croydon,11,11,1.0
Milton,19,19,1.0
Mildenhall,13,13,1.0
Midhurst (to 1935),23,23,1.0
Hinckley,14,14,1.0
Hitchin,27,27,1.0
Hollingbourne,23,23,1.0
Melksham,6,6,1.0
Medway (1998 onw),7,7,1.0
Medway (1837-1941),7,7,1.0
Bala,5,5,1.0
Martley (to 1913),29,29,1.0
Martley (from 1934),29,29,1.0
Marlborough,18,18,1.0
Holsworthy,22,22,1.0
Barton upon Irwell (1850-1934),6,6,1.0
Mutford,24,24,1.0
Henley,24,24,1.0
Hendon (1947-1999),9,9,1.0
