year,district,active_parish_rows,active_unique_parishes,matched_parish_rows,matched_unique_parishes,matched_share,usable_1851_backbone
1852,Conway (to 1937),15,15,9,9,0.6,1
1852,Cookham,7,7,6,6,0.8571428571428571,1
1852,Corwen,15,15,11,11,0.7333333333333333,1
1852,Cosford,28,28,28,28,1.0,1
1852,Coventry,2,2,2,2,1.0,1
1852,Cranbrook,6,6,6,6,1.0,1
1852,Crediton,30,30,29,29,0.9666666666666667,1
1852,Crickhowell,10,10,5,5,0.5,1
1852,Cricklade,14,14,12,12,0.8571428571428571,1
1852,Croydon,11,11,11,11,1.0,1
1852,Cuckfield,15,15,15,15,1.0,1
1852,Darlington,41,41,37,37,0.9024390243902439,1
1852,Dartford,21,21,21,21,1.0,1
1852,Daventry,28,28,25,25,0.8928571428571429,1
1852,Depwade,43,43,40,40,0.9302325581395349,1
1852,Derby,7,7,5,5,0.7142857142857143,1
1852,Devizes,29,29,25,25,0.8620689655172413,1
1852,Dewsbury,11,11,10,10,0.9090909090909091,1
1852,Docking,37,37,35,35,0.9459459459459459,1
1852,Dolgelly,13,13,9,9,0.6923076923076923,1
1852,Doncaster,56,56,50,50,0.8928571428571429,1
1852,Dorchester,60,60,55,55,0.9166666666666666,1
1852,Dorking,8,8,8,8,1.0,1
1852,Dover,25,25,24,24,0.96,1
1852,Downham,33,33,31,31,0.9393939393939394,1
1852,Driffield,43,43,39,39,0.9069767441860465,1
1852,Droitwich,32,32,27,27,0.84375,1
1852,Droxford,11,11,11,11,1.0,1
1852,Dudley (1913-35),5,5,4,4,0.8,1
1852,Dudley (1935-66),5,5,4,4,0.8,1
1852,Dudley (1966 onw),5,5,4,4,0.8,1
1852,Dudley (to 1912),5,5,4,4,0.8,1
1852,Dunmow,25,25,25,25,1.0,1
1852,Durham (1837-1938),46,46,43,43,0.9347826086956522,1
1852,Dursley,10,10,10,10,1.0,1
1852,Easington,19,19,17,17,0.8947368421052632,1
1852,Easingwold,31,31,27,27,0.8709677419354839,1
1852,East Ashford,25,25,25,25,1.0,1
1852,East Grinstead,7,7,6,6,0.8571428571428571,1
1852,East London,5,5,4,4,0.8,1
1852,East Retford,50,50,46,46,0.92,1
1852,East Stonehouse,1,1,1,1,1.0,1
1852,East Ward,30,30,25,25,0.8333333333333334,1
1852,Eastbourne,14,14,14,14,1.0,1
1852,Easthampstead (1837-1937),5,5,4,4,0.8,1
1852,Easthampstead (1967-74),5,5,4,4,0.8,1
1852,Eastry,31,31,31,31,1.0,1
1852,Ecclesall Bierlow,7,7,7,7,1.0,1
1852,Edmonton,5,5,2,2,0.4,1
1852,Elham,21,21,19,19,0.9047619047619048,1
1852,Ellesmere,18,18,16,16,0.8888888888888888,1
