constructed_district,official_G_NAME,official_G_UNIT,NATION,G_YEAR,matched_via,centroid_distance_km,nearest_dist_m,centroid_constructed_wkt,centroid_official_wkt
South Stoneham,SOUTH STONEHAM,10167589.0,ENGLAND,1851.0,within,1.9057913860027398,,POINT (443560.887532 115598.801996),POINT (444897.703512 114240.507535)
Southam,SOUTHAM,10005553.0,ENGLAND,1851.0,within,0.3538018350012024,,POINT (441091.067618 258496.164777),POINT (441239.920198 258175.199595)
Southampton,TADCASTER,10029557.0,ENGLAND,1851.0,within,5.741181629244445,,POINT (447924.195373 447372.791703),POINT (447094.851051 441691.82748)
Southwell,BINGHAM,10075609.0,ENGLAND,1851.0,within,6.938686982223886,,POINT (466517.565218 343150.912589),POINT (469581.746175 336925.467055)
Spalding,SPALDING,10174776.0,ENGLAND,1851.0,within,7.730275005288545,,POINT (517523.446587 329499.584725),POINT (524561.635309 326302.546849)
Spilsby,SPILSBY,10139247.0,ENGLAND,1851.0,within,8.838650926323355,,POINT (537354.761551 369260.701172),POINT (545505.896627 365842.990362)
St Albans,ST ALBANS,10055878.0,ENGLAND,1851.0,within,3.625576484358092,,POINT (514154.355743 212860.380189),POINT (514502.327911 209251.541011)
St Asaph,RUTHIN,10154996.0,WALES,1851.0,within,11.955805300728178,,POINT (298669.807202 361345.088926),POINT (310025.600971 357605.138626)
St Austell,ST AUSTELL,10085834.0,ENGLAND,1851.0,within,1.0361847974831278,,POINT (200979.934761 52276.177616),POINT (199989.74527 52581.470438)
St Columb,ST COLUMB MAJOR,10030110.0,ENGLAND,1851.0,within,1.551430747966572,,POINT (190621.491489 65709.316668),POINT (189382.183127 64776.014922)
St Faiths,MITFORD AND LAUNDITCH,10187679.0,ENGLAND,1851.0,within,13.188080963258138,,POINT (600023.590363 303118.729014),POINT (596792.314641 315904.828368)
St Germans,ST GERMANS,10174612.0,ENGLAND,1851.0,within,6.117846988934897,,POINT (235385.768396 65096.749806),POINT (237205.195347 59255.710742)
St Ives,KETTERING,10029831.0,ENGLAND,1851.0,within,7.990595318973296,,POINT (483958.157324 289286.323709),POINT (485932.372522 281543.450347)
St Martin in the Fields,PANCRAS,10093351.0,ENGLAND,1851.0,within,0.8994897510326347,,POINT (529131.443532 183809.966124),POINT (528818.145399 184653.130457)
St Neots,MELTON MOWBRAY,10154959.0,ENGLAND,1851.0,within,6.047484443177616,,POINT (475369.383378 327019.149209),POINT (476146.274634 321021.77411)
St Olave Southwark (1837-1901),ST OLAVE SOUTHWARK,10081749.0,ENGLAND,1851.0,within,0.3524285119062933,,POINT (533005.008719 180109.326273),POINT (533346.285252 180021.370692)
St Saviour Southwark,ST SAVIOURS,10005220.0,ENGLAND,1851.0,within,0.17263724573932718,,POINT (531899.089714 180191.268752),POINT (532070.686149 180210.197096)
St Thomas,TIVERTON,10488230.0,ENGLAND,1851.0,within,17.979843807308455,,POINT (296232.650521 101845.477991),POINT (295043.518539 119785.955924)
Stafford,STONE,10206303.0,ENGLAND,1851.0,within,8.894909101024783,,POINT (392771.6743 341391.652697),POINT (386882.444066 334725.591253)
Staines,STAINES,10085822.0,ENGLAND,1851.0,within,0.2169311358809209,,POINT (507470.412262 172860.545834),POINT (507686.638272 172878.022402)
Stamford,OAKHAM,10043955.0,ENGLAND,1851.0,within,4.263559976473373,,POINT (487686.941223 306427.202216),POINT (488743.737683 310557.713675)
Stepney (1926-82),CLUN,10220968.0,ENGLAND,1851.0,within,11.743890490505525,,POINT (341713.237389 278113.961848),POINT (333697.02193 286696.458778)
Stepney (to 1921),CLUN,10220968.0,ENGLAND,1851.0,within,11.743890490505525,,POINT (341713.237389 278113.961848),POINT (333697.02193 286696.458778)
Steyning,HORSHAM,10005425.0,ENGLAND,1851.0,within,4.908138030287516,,POINT (517507.06136 123646.476395),POINT (517353.258278 128552.204021)
Stockbridge (to 1932),HUNGERFORD,10111833.0,ENGLAND,1851.0,within,7.956215253580818,,POINT (423379.229127 170769.562063),POINT (431276.242706 169800.780511)
Stockport,STOCKPORT,10154753.0,ENGLAND,1851.0,within,0.7193100847193377,,POINT (391478.913116 389488.420513),POINT (390956.175687 388994.302532)
Stockton (to 1938),DARLINGTON,10081798.0,ENGLAND,1851.0,within,7.005633001434569,,POINT (434316.414654 517726.958537),POINT (427950.412533 514802.422547)
Stoke upon Trent,ASKRIGG,10155022.0,ENGLAND,1851.0,within,5.0581683411191625,,POINT (395119.766597 490921.069486),POINT (390612.234994 488626.025736)
Stokesley,KNARESBOROUGH,10207174.0,ENGLAND,1851.0,within,10.145580706277626,,POINT (441641.372319 467050.696067),POINT (438687.82863 457344.544021)
Stone,TAMWORTH,10005267.0,ENGLAND,1851.0,within,2.6269983167293693,,POINT (420820.480583 306092.292659),POINT (421999.245228 303744.605698)
Stourbridge,STOURBRIDGE,10111614.0,ENGLAND,1851.0,within,4.568611134617894,,POINT (388135.142526 287517.227524),POINT (392364.154689 285788.741531)
Stow (to 1935),THINGOE,10005279.0,ENGLAND,1851.0,within,5.410273723704232,,POINT (591067.065397 266085.028511),POINT (585672.071101 265678.705592)
Stow on the Wold,STOW ON THE WOLD,10139030.0,ENGLAND,1851.0,within,0.9244623618062391,,POINT (417886.063684 224415.622603),POINT (418263.101215 223571.541234)
Strand (1837-1913),STRAND,10029533.0,ENGLAND,1851.0,within,0.31710720603833875,,POINT (530754.25024 180966.862617),POINT (530438.787221 180999.112634)
Stratford upon Avon,STRATFORD ON AVON,10043750.0,ENGLAND,1851.0,within,1.687476116616112,,POINT (421329.520034 257601.176546),POINT (421219.614273 255917.283328)
Stratton,STRATTON,10055659.0,ENGLAND,1851.0,within,1.931563994038335,,POINT (222677.680438 102148.452765),POINT (222736.885203 104079.109197)
Stroud (1837 onw),WINCHCOMBE,10029650.0,ENGLAND,1851.0,within,1.7224697972324627,,POINT (404094.659812 228211.5989),POINT (404191.40284 229931.349751)
Sturminster (1959 to 1974),STURMINSTER,10029545.0,ENGLAND,1851.0,within,0.5480320320343933,,POINT (377516.611216 113992.085764),POINT (377281.874412 113496.870921)
Sturminster (to 1958),STURMINSTER,10029545.0,ENGLAND,1851.0,within,0.5480320320343933,,POINT (377516.611216 113992.085764),POINT (377281.874412 113496.870921)
Sudbury,LINTON,10167486.0,ENGLAND,1851.0,within,5.465680314737013,,POINT (561067.680864 247051.414499),POINT (555735.258043 248250.967815)
Sunderland,CASTLE WARD,10205888.0,ENGLAND,1851.0,within,3.826468712654836,,POINT (414253.383245 578147.365826),POINT (413122.596553 574491.796887)
Swaffham,SWAFFHAM,10063127.0,ENGLAND,1851.0,within,6.368246396396812,,POINT (576839.639653 302878.234095),POINT (582883.136095 304885.897643)
Swansea,SWANSEA,10167383.0,WALES,1851.0,within,8.97927104057865,,POINT (266000.224576 192818.423693),POINT (257628.692892 196065.69419)
Tadcaster,PONTEFRACT,10220889.0,ENGLAND,1851.0,within,7.734800228247058,,POINT (446288.649964 432494.739223),POINT (448378.805705 425047.700647)
Tamworth,ASHBY DE LA ZOUCH,10112000.0,ENGLAND,1851.0,within,9.08164701120052,,POINT (429311.462331 309820.654438),POINT (436317.259165 315599.505809)
Taunton (1837-1974),TAUNTON,10213629.0,ENGLAND,1851.0,within,4.637865744681412,,POINT (321297.397509 120001.017895),POINT (323206.440024 124227.760772)
Taunton (1996 onw),TAUNTON,10213629.0,ENGLAND,1851.0,within,4.637865744681412,,POINT (321297.397509 120001.017895),POINT (323206.440024 124227.760772)
Tavistock,TAVISTOCK,10055660.0,ENGLAND,1851.0,within,4.579434062462246,,POINT (248283.177216 75881.209955),POINT (252619.924285 77352.21002)
Teesdale,REETH,10034553.0,ENGLAND,1851.0,within,5.240330129356081,,POINT (394451.141798 495903.426123),POINT (394711.65391 501137.276838)
Tenbury,LUDLOW,10139405.0,ENGLAND,1851.0,within,10.684099301804787,,POINT (359159.840579 272821.581133),POINT (350118.101187 278513.41095)
Tendring,TENDRING,10139053.0,ENGLAND,1851.0,within,9.963292443268141,,POINT (604987.135187 221129.097235),POINT (614554.705846 223909.167018)
Tenterden,CRANBROOK,10044091.0,ENGLAND,1851.0,within,3.475797355707741,,POINT (578094.165945 137891.969606),POINT (577005.615812 134591.026428)
Tetbury,GLOUCESTER,10029739.0,ENGLAND,1851.0,within,6.206138877225162,,POINT (385437.92705 212990.644993),POINT (383942.844904 219014.00694)
Tewkesbury,CHELTENHAM,10139790.0,ENGLAND,1851.0,within,3.87116322789549,,POINT (392255.805802 223264.177075),POINT (394259.744572 219952.057793)
Thakeham,WANTAGE,10139089.0,ENGLAND,1851.0,within,9.296006667113819,,POINT (449022.249321 176036.991085),POINT (444396.057281 184100.122436)
Thame,THAME,10111638.0,ENGLAND,1851.0,within,4.465203083837881,,POINT (468296.093373 208883.585765),POINT (467821.184478 204443.709627)
Thanet,FARNHAM,10005711.0,ENGLAND,1851.0,within,4.481552187379431,,POINT (486955.748451 140021.913248),POINT (485438.471974 144238.805718)
Thetford,THETFORD,10208531.0,ENGLAND,1851.0,within,11.328404268551601,,POINT (572332.498644 294136.304315),POINT (581190.447054 287074.470755)
Thingoe,MILDENHALL,10029934.0,ENGLAND,1851.0,within,9.123554795026333,,POINT (563771.292737 279578.899305),POINT (572646.427668 277464.370503)
Thirsk,THIRSK,10055684.0,ENGLAND,1851.0,within,7.45952619529826,,POINT (445473.637985 475690.306877),POINT (443302.865432 482826.992213)
Thorne,EAST RETFORD,10194155.0,ENGLAND,1851.0,within,12.98101588290453,,POINT (466192.93136 392063.772093),POINT (472844.928982 380916.678257)
Thrapston,OAKHAM,10043955.0,ENGLAND,1851.0,within,3.678727374404584,,POINT (492124.607294 309107.625481),POINT (488743.737683 310557.713675)
Ticehurst,TICEHURST,10187540.0,ENGLAND,1851.0,within,1.1689825434897718,,POINT (565311.736368 130995.346747),POINT (566374.328521 130508.091061)
Tisbury,TISBURY,10211918.0,ENGLAND,1851.0,within,4.395937291592851,,POINT (394943.970014 131292.80332),POINT (393877.617944 127028.162897)
Tiverton,TIVERTON,10488230.0,ENGLAND,1851.0,within,9.09865377845336,,POINT (302420.669625 125111.66174),POINT (295043.518539 119785.955924)
Todmorden,HUDDERSFIELD,10081762.0,ENGLAND,1851.0,within,3.445123923443485,,POINT (411849.769101 414984.124942),POINT (412772.069806 411664.751469)
Tonbridge,TONBRIDGE,10055740.0,ENGLAND,1851.0,within,0.2940496569989349,,POINT (561829.975565 143914.319585),POINT (561818.492185 143620.494241)
Torrington,TORRINGTON,10167401.0,ENGLAND,1851.0,within,0.5492101505246965,,POINT (253593.984024 115455.703394),POINT (253275.173806 115008.498928)
Totnes,TOTNES,10198434.0,ENGLAND,1851.0,within,0.2883300689148003,,POINT (277120.700899 60093.954959),POINT (277287.731087 59858.933375)
Towcester,BICESTER,10030146.0,ENGLAND,1851.0,within,7.07003605795644,,POINT (454143.753259 229405.579808),POINT (456465.413966 222727.608452)
Tregaron,TREGARON,10154777.0,WALES,1851.0,within,0.8153324995430946,,POINT (271017.04218 260716.687101),POINT (271140.223815 261522.660655)
Truro,TRURO,10111640.0,ENGLAND,1851.0,within,0.5549089172336152,,POINT (183729.672235 46588.880787),POINT (183270.520829 46277.265812)
Tunstead,MITFORD AND LAUNDITCH,10187679.0,ENGLAND,1851.0,within,5.549749136063741,,POINT (596802.319048 321454.568487),POINT (596792.314641 315904.828368)
Tynemouth,MORPETH,10216540.0,ENGLAND,1851.0,within,10.824146455821872,,POINT (425751.498358 581821.861491),POINT (418578.187857 589927.770629)
Uckfield,UCKFIELD,10088719.0,ENGLAND,1851.0,within,1.61130754583436,,POINT (549473.473107 125247.917493),POINT (551080.167799 125126.080816)
Ulverston,KENDAL,10005437.0,ENGLAND,1851.0,within,3.7200018622656676,,POINT (345782.541805 492691.679905),POINT (349376.837047 493650.562365)
Uppingham,BARROW UPON SOAR,10055880.0,ENGLAND,1851.0,within,6.945805913366577,,POINT (464130.456552 307993.81466),POINT (459111.716255 312795.529521)
Upton upon Severn,TEWKESBURY,10097629.0,ENGLAND,1851.0,within,8.732529981484515,,POINT (393037.685917 240049.170607),POINT (389770.680276 231950.790891)
Uttoxeter,NEWPORT,10201482.0,ENGLAND,1851.0,within,8.021659228943495,,POINT (383258.328103 319183.661523),POINT (375367.581642 320626.969207)
Uxbridge,UXBRIDGE,10075403.0,ENGLAND,1851.0,within,0.19057166621492358,,POINT (508816.00534 185068.629685),POINT (508894.285277 184894.877529)
Wakefield,WORTLEY,10584735.0,ENGLAND,1851.0,within,11.321588631809838,,POINT (427767.051884 409242.097945),POINT (425863.213335 398081.732004)
Wallingford,THAME,10111638.0,ENGLAND,1851.0,within,2.895428814642556,,POINT (469864.118338 202391.898411),POINT (467821.184478 204443.709627)
Walsall,WARWICK,10029715.0,ENGLAND,1851.0,within,8.801186544491806,,POINT (432798.341023 276614.968194),POINT (429589.069435 268419.758589)
Walsingham,WALSINGHAM,10187552.0,ENGLAND,1851.0,within,4.460663720147217,,POINT (594567.250734 330885.636213),POINT (594376.682104 335342.227334)
Wandsworth,WANDSWORTH,10488011.0,ENGLAND,1851.0,within,0.06411274241771928,,POINT (526911.144465 173790.005236),POINT (526955.885823 173835.925325)
Wangford,SWAFFHAM,10063127.0,ENGLAND,1851.0,within,10.870252329185139,,POINT (591730.08531 311202.057497),POINT (582883.136095 304885.897643)
Wantage,WANTAGE,10139089.0,ENGLAND,1851.0,within,0.2945559472000865,,POINT (444324.524747 184385.860607),POINT (444396.057281 184100.122436)
Ware,WARE,10210537.0,ENGLAND,1851.0,within,0.9862323989412863,,POINT (537125.501072 214984.871871),POINT (537700.316392 215786.271704)
Wareham,WAREHAM AND PURBECK,10005280.0,ENGLAND,1851.0,within,2.147092720788724,,POINT (387735.837558 86741.508075),POINT (389840.401658 86316.282135)
Warminster,FROME,10112163.0,ENGLAND,1851.0,within,8.280805694784203,,POINT (376076.977942 140089.946375),POINT (375182.458883 148322.295894)
Warrington,WARRINGTON,10075415.0,ENGLAND,1851.0,within,2.026116249881089,,POINT (358717.149993 390874.354951),POINT (360723.069756 391159.719566)
Warwick (to 1932),STRATFORD ON AVON,10043750.0,ENGLAND,1851.0,within,4.401218649683829,,POINT (422459.434984 260140.264527),POINT (421219.614273 255917.283328)
Watford,WATFORD,10154789.0,ENGLAND,1851.0,within,0.5379633599160024,,POINT (508884.291905 197252.055591),POINT (509418.415209 197316.218457)
Wayland,MILDENHALL,10029934.0,ENGLAND,1851.0,within,6.105626044199343,,POINT (566652.878652 276299.879374),POINT (572646.427668 277464.370503)
Weardale,WEARDALE,10139090.0,ENGLAND,1851.0,within,7.845565165123083,,POINT (395377.975459 547749.461645),POINT (395999.767476 539928.57503)
Wellingborough,WELLINGBOROUGH,10063140.0,ENGLAND,1851.0,within,5.027851904418282,,POINT (485106.074842 265783.826129),POINT (490112.004075 266252.832822)
